term,language_code,category,severity,match_mode,fuzzy_enabled,boundary_mode,active
えっち,ja,sexual,1,normalized,0,substring,1
えろ,ja,sexual,1,normalized,0,substring,1
えろい,ja,sexual,1,normalized,0,substring,1
ぽるの,ja,sexual,1,normalized,0,substring,1
ぽるのぐらふぃー,ja,sexual,1,normalized,0,substring,1
あだるとびでお,ja,sexual,1,normalized,0,substring,1
AV女優,ja,sexual,1,normalized,0,substring,1
成人向け,ja,sexual,1,normalized,0,substring,1
ぬーど,ja,sexual,1,normalized,0,substring,1
裸,ja,sexual,1,normalized,0,substring,1
乳房,ja,sexual,1,normalized,0,substring,1
乳首,ja,sexual,1,normalized,0,substring,1
陰茎,ja,sexual,1,normalized,0,substring,1
陰部,ja,sexual,1,normalized,0,substring,1
陰毛,ja,sexual,1,normalized,0,substring,1
陰唇,ja,sexual,1,normalized,0,substring,1
陰核,ja,sexual,1,normalized,0,substring,1
陰嚢,ja,sexual,1,normalized,0,substring,1
睾丸,ja,sexual,1,normalized,0,substring,1
亀頭,ja,sexual,1,normalized,0,substring,1
膣,ja,sexual,1,normalized,0,substring,1
くりとりす,ja,sexual,1,normalized,0,substring,1
性交,ja,sexual,1,normalized,0,substring,1
性行為,ja,sexual,1,normalized,0,substring,1
性欲,ja,sexual,1,normalized,0,substring,1
射精,ja,sexual,1,normalized,0,substring,1
精液,ja,sexual,1,normalized,0,substring,1
おーがずむ,ja,sexual,1,normalized,0,substring,1
自慰,ja,sexual,1,normalized,0,substring,1
ますたーべーしょん,ja,sexual,1,normalized,0,substring,1
こんどーむ,ja,sexual,1,normalized,0,substring,1
包茎,ja,sexual,1,normalized,0,substring,1
早漏,ja,sexual,1,normalized,0,substring,1
遅漏,ja,sexual,1,normalized,0,substring,1
童貞,ja,sexual,1,normalized,0,substring,1
処女,ja,sexual,1,normalized,0,substring,1
巨乳,ja,sexual,1,normalized,0,substring,1
貧乳,ja,sexual,1,normalized,0,substring,1
痴女,ja,sexual,1,normalized,0,substring,1
淫乱,ja,sexual,1,normalized,0,substring,1
変態,ja,sexual,1,normalized,0,substring,1
そーぷらんど,ja,sexual,1,normalized,0,substring,1
でりへる,ja,sexual,1,normalized,0,substring,1
らぶほてる,ja,sexual,1,normalized,0,substring,1
ぱぱ活,ja,sexual,1,normalized,0,substring,1
寝取られ,ja,sexual,1,normalized,0,substring,1
NTR,ja,sexual,1,normalized,0,substring,1
ふたなり,ja,sexual,1,normalized,0,substring,1
SM,ja,sexual,1,normalized,0,substring,1
BDSM,ja,sexual,1,normalized,0,substring,1
緊縛,ja,sexual,1,normalized,0,substring,1
ぼんでーじ,ja,sexual,1,normalized,0,substring,1
ろーたー,ja,sexual,1,normalized,0,substring,1
ばいぶ,ja,sexual,1,normalized,0,substring,1
あなる,ja,sexual,1,normalized,0,substring,1
ぱんちら,ja,sexual,1,normalized,0,substring,1
胸ちら,ja,sexual,1,normalized,0,substring,1
性奴隷,ja,sexual,1,normalized,0,substring,1
愛撫,ja,sexual,1,normalized,0,substring,1
愛液,ja,sexual,1,normalized,0,substring,1
援交,ja,sexual,1,normalized,0,substring,1
援助交際,ja,sexual,1,normalized,0,substring,1
立ちんぼ,ja,sexual,1,normalized,0,substring,1
れいぷ,ja,violence,2,normalized,0,substring,1
強姦,ja,violence,2,normalized,0,substring,1
輪姦,ja,violence,2,normalized,0,substring,1
睡姦,ja,violence,2,normalized,0,substring,1
屍姦,ja,violence,2,normalized,0,substring,1
獣姦,ja,violence,2,normalized,0,substring,1
近親相姦,ja,violence,2,normalized,0,substring,1
糞,ja,profanity,1,normalized,0,word,1
馬鹿,ja,harassment,2,normalized,0,word,1
ぼけ,ja,harassment,2,normalized,0,word,1
まぬけ,ja,harassment,2,normalized,0,word,1
のろま,ja,harassment,2,normalized,0,word,1
でべそ,ja,harassment,2,normalized,0,word,1
はげ,ja,harassment,2,normalized,0,word,1
じじい,ja,harassment,2,normalized,0,word,1
ばばあ,ja,harassment,2,normalized,0,word,1
ぽり公,ja,harassment,2,normalized,0,word,1
いざり,ja,discrimination,1,normalized,0,word,1
ぎっちょ,ja,discrimination,1,normalized,0,substring,1
びっこ,ja,discrimination,1,normalized,0,word,1
つんぼ,ja,discrimination,1,normalized,0,word,1
めくら,ja,discrimination,1,normalized,0,word,1
かたわ,ja,discrimination,1,normalized,0,word,1
白痴,ja,discrimination,1,normalized,0,word,1
土方,ja,discrimination,1,normalized,0,word,1
土人,ja,discrimination,1,normalized,0,word,1
支那,ja,discrimination,1,normalized,0,word,1
支那人,ja,discrimination,1,normalized,0,word,1
えた,ja,discrimination,1,normalized,0,word,1
非人,ja,discrimination,1,normalized,0,word,1
部落民,ja,discrimination,1,normalized,0,word,1
ほも,ja,discrimination,1,normalized,0,word,1
れず,ja,discrimination,1,normalized,0,word,1
あすぺ,ja,discrimination,1,normalized,0,word,1
糖質,ja,discrimination,1,normalized,0,word,1
統失,ja,discrimination,1,normalized,0,word,1
なまぽ,ja,discrimination,1,normalized,0,word,1
非国民,ja,discrimination,1,normalized,0,word,1
