term,language_code,category,severity,match_mode,fuzzy_enabled,boundary_mode,active
ちんこ,ja,sexual,3,normalized,0,substring,1
ちんぽ,ja,sexual,3,normalized,0,substring,1
まんこ,ja,sexual,4,normalized,0,substring,1
まんげ,ja,sexual,4,normalized,0,substring,1
きんたま,ja,sexual,3,normalized,1,substring,1
たまきん,ja,sexual,3,normalized,1,substring,1
おっぱい,ja,sexual,1,normalized,0,substring,1
せっくす,ja,sexual,1,normalized,0,substring,1
ぺにす,ja,sexual,1,normalized,0,substring,1
ばぎな,ja,sexual,1,normalized,0,substring,1
ふぇら,ja,sexual,3,normalized,0,substring,1
くんに,ja,sexual,3,normalized,0,substring,1
やりまん,ja,sexual,4,normalized,1,substring,1
やりちん,ja,sexual,4,normalized,1,substring,1
びっち,ja,sexual,4,normalized,0,substring,1
くそ,ja,profanity,1,normalized,0,word,1
ちくしょう,ja,profanity,1,normalized,0,word,1
ふざけんな,ja,profanity,4,normalized,1,substring,1
だまれ,ja,harassment,3,normalized,0,substring,1
ばか,ja,harassment,2,normalized,0,word,1
あほ,ja,harassment,2,normalized,0,word,1
きもい,ja,harassment,3,normalized,0,substring,1
うざい,ja,harassment,3,normalized,0,substring,1
くず,ja,harassment,2,normalized,0,word,1
かす,ja,harassment,2,normalized,0,word,1
しね,ja,violence,5,normalized,0,substring,1
死ね,ja,violence,5,normalized,0,substring,1
ぶす,ja,harassment,2,normalized,0,word,1
でぶ,ja,harassment,2,normalized,0,word,1
無能,ja,harassment,4,normalized,0,substring,1
消えろ,ja,harassment,4,normalized,0,substring,1
殺す,ja,violence,2,normalized,0,substring,1
ぶっ殺す,ja,violence,5,normalized,1,substring,1
殴るぞ,ja,violence,5,normalized,0,substring,1
殺してやる,ja,violence,5,normalized,1,substring,1
がいじ,ja,discrimination,4,normalized,0,substring,1
ちょん,ja,discrimination,4,normalized,0,substring,1
にがー,ja,discrimination,4,normalized,0,substring,1
おかま,ja,discrimination,1,normalized,0,word,1
ちんちん,ja,sexual,3,normalized,1,substring,1
おちんちん,ja,sexual,3,normalized,1,substring,1
ぽこちん,ja,sexual,3,normalized,1,substring,1
でかちん,ja,sexual,3,normalized,1,substring,1
粗ちん,ja,sexual,3,normalized,0,substring,1
おまんこ,ja,sexual,4,normalized,1,substring,1
おめこ,ja,sexual,4,normalized,0,substring,1
まんまん,ja,sexual,4,normalized,1,substring,1
けつまんこ,ja,sexual,4,normalized,1,substring,1
おなにー,ja,sexual,3,normalized,1,substring,1
せんずり,ja,sexual,3,normalized,1,substring,1
ふぇらちお,ja,sexual,3,normalized,1,substring,1
くんにりんぐす,ja,sexual,3,normalized,1,substring,1
ぱいずり,ja,sexual,3,normalized,1,substring,1
手こき,ja,sexual,3,normalized,0,substring,1
手まん,ja,sexual,3,normalized,0,substring,1
足こき,ja,sexual,3,normalized,0,substring,1
顔射,ja,sexual,4,normalized,0,substring,1
中出し,ja,sexual,4,normalized,0,substring,1
生はめ,ja,sexual,4,normalized,0,substring,1
はめ撮り,ja,sexual,4,normalized,1,substring,1
口内射精,ja,sexual,4,normalized,1,substring,1
あなるせっくす,ja,sexual,4,normalized,1,substring,1
でぃーぷすろーと,ja,sexual,4,normalized,1,substring,1
いらまちお,ja,sexual,4,normalized,1,substring,1
でぃるど,ja,sexual,3,normalized,1,substring,1
おなほ,ja,sexual,3,normalized,0,substring,1
おなほーる,ja,sexual,3,normalized,1,substring,1
ざーめん,ja,sexual,3,normalized,1,substring,1
肉便器,ja,sexual,5,normalized,0,substring,1
ぶっかけ,ja,sexual,4,normalized,1,substring,1
すかとろ,ja,sexual,4,normalized,1,substring,1
食糞,ja,sexual,4,normalized,0,substring,1
飲尿,ja,sexual,4,normalized,0,substring,1
乱交,ja,sexual,4,normalized,0,substring,1
児童ぽるの,ja,sexual,5,normalized,1,substring,1
ろりこん,ja,sexual,4,normalized,1,substring,1
くそくらえ,ja,profanity,4,normalized,1,substring,1
糞食らえ,ja,profanity,4,normalized,1,substring,1
くそ野郎,ja,profanity,4,normalized,1,substring,1
くそがき,ja,profanity,4,normalized,1,substring,1
くそあま,ja,profanity,4,normalized,1,substring,1
くそごみ,ja,profanity,4,normalized,1,substring,1
豚野郎,ja,profanity,4,normalized,0,substring,1
馬鹿野郎,ja,profanity,4,normalized,1,substring,1
ばかやろう,ja,profanity,4,normalized,1,substring,1
あほんだら,ja,profanity,4,normalized,1,substring,1
うるせえ,ja,profanity,3,normalized,1,substring,1
ごみくず,ja,profanity,4,normalized,1,substring,1
かす野郎,ja,profanity,4,normalized,1,substring,1
ぼけなす,ja,profanity,4,normalized,1,substring,1
このくず,ja,profanity,4,normalized,1,substring,1
このかす,ja,profanity,4,normalized,1,substring,1
だまれくず,ja,profanity,4,normalized,1,substring,1
黙れくず,ja,profanity,4,normalized,1,substring,1
失せろ,ja,profanity,4,normalized,0,substring,1
雑魚すぎ,ja,harassment,3,normalized,1,substring,1
ざこすぎ,ja,harassment,3,normalized,1,substring,1
ぶすだな,ja,harassment,4,normalized,1,substring,1
でぶだな,ja,harassment,3,normalized,1,substring,1
はげだな,ja,harassment,3,normalized,1,substring,1
お前終わってる,ja,harassment,4,normalized,1,substring,1
生きる価値ない,ja,harassment,5,normalized,1,substring,1
存在価値ない,ja,harassment,5,normalized,1,substring,1
誰もお前を必要としてない,ja,harassment,5,normalized,1,substring,1
誰にも必要とされてない,ja,harassment,5,normalized,1,substring,1
お前なんかいらない,ja,harassment,4,normalized,1,substring,1
人間のくず,ja,harassment,5,normalized,1,substring,1
頭おかしい,ja,harassment,4,normalized,1,substring,1
気持ち悪い,ja,harassment,3,normalized,1,substring,1
顔がきもい,ja,harassment,4,normalized,1,substring,1
声がきもい,ja,harassment,4,normalized,1,substring,1
死んだほうがいい,ja,harassment,5,normalized,1,substring,1
自殺しろ,ja,violence,5,normalized,1,substring,1
首つれ,ja,violence,5,normalized,0,substring,1
首吊れ,ja,violence,5,normalized,0,substring,1
殺すぞ,ja,violence,5,normalized,0,substring,1
ぶん殴る,ja,violence,5,normalized,1,substring,1
ぼこぼこにする,ja,violence,5,normalized,1,substring,1
刺すぞ,ja,violence,5,normalized,0,substring,1
撃つぞ,ja,violence,5,normalized,0,substring,1
燃やすぞ,ja,violence,5,normalized,1,substring,1
爆破するぞ,ja,violence,5,normalized,1,substring,1
爆破予告,ja,violence,5,normalized,1,substring,1
殺害予告,ja,violence,5,normalized,1,substring,1
れいぷするぞ,ja,violence,5,normalized,1,substring,1
犯すぞ,ja,violence,5,normalized,0,substring,1
池沼,ja,discrimination,4,normalized,0,substring,1
きちがい,ja,discrimination,4,normalized,1,substring,1
